page_likes,page_checkin,daily_crowd,page_category,F1,F2,F3,F4,F5,F6,F7,F8,c1,c2,c3,c4,c5,base_time,post_length,share_count,promotion,h_target,post_day,basetime_day,target
400487,0,57833,13,414,26.6354916067146,15,44.9415979862141,0,300,10.9016786570743,3,43,43,0,43,43,24,100,20,0,24,wednesday,thursday,1
2667410,141,111855,18,793,185.317073170732,157,164.73917878143,0,419,76.6219512195122,39,248,8,37,216,-29,68,118,71,0,24,saturday,tuesday,5
2411555,0,61797,9,560,103.860465116279,78,107.011970944213,0,325,39.6511627906977,12.5,0,0,0,0,0,0,119,207,0,24,friday,friday,23
1013,0,1,85,16,2.22429906542056,1,3.48912438796212,0,7,0.635514018691589,0,1,1,0,1,1,1,0,1,0,24,tuesday,tuesday,0
367390,0,2678,100,110,11.8281750266809,6,15.4302000580234,0,96,4.55923159018143,2,9,9,0,9,9,19,53,4,0,24,friday,saturday,4
72615,0,3569,14,1263,28.3468468468468,6,131.45626294184,0,558,7.2454954954955,1,11,0,2,9,-2,72,0,1,0,24,monday,thursday,0
5200467,1,123640,9,751,195.91095890411,114.5,201.970224349378,0,529,85.041095890411,35.5,40,16,24,37,-8,29,132,19,0,24,monday,tuesday,3
83215,393,12259,18,73,12.4626865671642,10,10.8648344491864,0,71,4.74129353233831,2,5,1,4,4,-3,39,256,1,0,24,wednesday,friday,30
362368,13,50264,24,418,111.451127819549,94,92.9202476510909,0,355,33.5338345864662,12,153,2,20,142,-18,65,158,16,0,24,friday,monday,4
668834,4,42523,9,1389,109.848195329087,84.5,118.636482414088,0,1379,42.2983014861996,8,49,49,0,49,49,6,130,130,0,24,saturday,sunday,57
4300072,0,293563,18,1194,343.210843373494,236,293.297862706095,0,917,157.433734939759,71,937,136,801,838,-665,44,94,246,0,24,thursday,saturday,44
209071,0,444,55,164,3.29100529100529,1,9.55933702650008,0,73,1.11640211640212,0,0,0,0,0,0,11,97,1,0,24,monday,tuesday,0
99033,414,1053,32,196,6.92703150912106,2,16.0447544362451,0,178,2.90215588723051,0,3,1,2,2,-1,68,169,7,0,24,tuesday,friday,0
149139,0,145,14,116,2.40318302387268,1,9.37951888338328,0,87,1.25729442970822,0,0,0,0,0,0,31,270,1,0,24,monday,wednesday,0
4290409,11,131422,9,1310,140.733990147783,65,206.740617521908,0,1231,58.2844827586207,13.5,86,27,59,80,-32,30,174,149,0,24,wednesday,friday,3
4526533,0,111134,9,847,63.632582322357,29,103.316009213881,0,439,26.9826689774697,9,25,25,0,25,25,13,71,32,0,24,friday,saturday,3
3319,10,1,17,31,3.52332657200811,2,4.69624634199589,0,18,1.4604462474645,0,17,9,2,8,7,66,93,1,0,24,thursday,sunday,4
82197,0,3788,14,42,7.92505854800937,6,7.16346472526447,0,34,3.04918032786885,1,1,0,1,1,-1,30,852,21,0,24,saturday,monday,1
25599,2023,1835,32,183,11.608378870674,0,33.1250542552312,0,164,5.39344262295082,0,0,0,0,0,0,47,295,1,0,24,saturday,monday,5
3319,10,1,17,31,3.52332657200811,2,4.69624634199589,0,18,1.4604462474645,0,10,10,0,10,10,12,90,3,0,24,monday,tuesday,2
22035,0,2310,24,39,8.64035087719298,5,9.3401859489571,0,36,2.98684210526316,1,5,0,2,4,-2,64,45,2,0,24,saturday,monday,0
32745,1559,770,32,15,1.34186939820743,0,2.27262303416435,0,15,0.523687580025608,0,4,4,0,4,4,3,322,6,0,24,friday,friday,0
155266,1284,2454,60,16,1.38373424971363,0,2.30156304932999,0,13,0.585337915234822,0,0,0,0,0,0,33,27,5,0,24,monday,tuesday,0
66311,600,442,75,6,0.818181818181818,1,1.14692065865307,0,5,0.257575757575758,0,1,0,1,1,-1,32,27,18,0,24,saturday,monday,0
209979,20,185,46,4,0.5625,0,0.85700982667835,0,3,0.190406976744186,0,0,0,0,0,0,14,0,27,0,24,tuesday,wednesday,0
25247,393,6182,24,127,19.4282051282051,15,17.8011444276002,0,110,8.28461538461539,3,12,1,2,11,-1,58,0,49,0,24,sunday,tuesday,0
209071,0,444,55,164,3.29100529100529,1,9.55933702650008,0,73,1.11640211640212,0,6,6,0,6,6,8,168,1,0,24,thursday,friday,0
8580,0,589,44,5,0.46271186440678,0,0.848407941748513,0,4,0.216949152542373,0,1,1,0,1,1,9,109,2,0,24,wednesday,thursday,1
89879,393,1257,14,16,2.31282051282051,2,2.36634300645418,0,11,0.884615384615385,0,0,0,0,0,0,54,89,3,0,24,tuesday,thursday,0
513160,0,73487,42,1448,123.635738831615,30.5,226.665916627394,0,1140,50.4965635738832,9,6,0,0,6,0,60,125,21,0,24,sunday,wednesday,0
313452,1,86759,8,1399,203.12610619469,123.5,235.272840163217,0,1316,77.1460176991151,28,128,1,17,114,-16,70,72,25,0,24,sunday,wednesday,1
8580,0,589,44,5,0.46271186440678,0,0.848407941748513,0,4,0.216949152542373,0,2,0,1,2,-1,60,109,2,0,24,wednesday,saturday,0
11782829,1,11421,14,677,116.093333333333,65.5,135.664505142486,0,583,51.56,16,40,11,29,35,-18,39,184,836,0,24,thursday,friday,0
1457476,0,3961,10,59,4.39233038348083,2,8.52600050081011,0,46,1.48967551622419,0,53,5,48,51,-43,37,0,3,0,24,wednesday,thursday,4
31178,1,41,27,8,0.729559748427673,0,1.45232641215273,0,4,0.358490566037736,0,0,0,0,0,0,30,420,1,0,24,monday,tuesday,0
668834,4,42523,9,1389,109.848195329087,84.5,118.636482414088,0,1379,42.2983014861996,8,162,162,0,162,162,20,84,96,0,24,tuesday,wednesday,6
8070687,421,278406,9,1682,396.757785467128,270,357.168807777324,0,1570,157.544982698962,37,428,4,20,410,-16,67,122,2010,0,24,wednesday,saturday,0
1422427,0,35610,9,214,34.4945205479452,19,41.0421179939299,0,174,11.6821917808219,3,34,3,31,31,-28,46,0,163,0,24,saturday,monday,6
8580,0,589,44,5,0.46271186440678,0,0.848407941748513,0,4,0.216949152542373,0,0,0,0,0,0,0,102,1,0,24,sunday,sunday,0
25723,0,3586,2,60,22.4539385847797,22,11.9806063179301,0,53,8.64485981308411,4,26,14,12,26,2,26,123,16,0,24,thursday,friday,1
175201,0,54849,36,806,124.21589688507,82,124.282151900921,0,626,48.4425349087003,22,56,15,41,47,-26,37,35,1,0,24,tuesday,wednesday,0
1055660,0,120305,18,989,175.65625,103.5,197.95679390363,0,514,55.6875,20.5,166,17,149,160,-132,37,158,44,0,24,saturday,monday,2
50469,21748,2456,32,47,5.80314960629921,3,8.1044260971055,0,42,2.48818897637795,1,5,1,1,3,0,68,277,1,0,24,sunday,wednesday,0
888531,1,4469,47,259,91.6977611940299,84.5,40.7684816919316,0,227,33.9925373134328,10,125,125,0,125,125,15,808,291,0,24,friday,friday,3
12293,3744,3015,32,18,1.6448087431694,0,3.45692665576109,0,16,0.639344262295082,0,1,1,0,1,1,19,14,31,0,24,thursday,friday,3
1457476,0,3961,10,59,4.39233038348083,2,8.52600050081011,0,46,1.48967551622419,0,1,0,0,1,0,62,51,2,0,24,monday,thursday,0
513160,0,73487,42,1448,123.635738831615,30.5,226.665916627394,0,1140,50.4965635738832,9,102,80,22,95,58,26,1821,356,0,24,saturday,sunday,21
29392,0,597,91,23,1.92665474060823,1,2.8542385531005,0,19,0.749552772808587,0,3,0,3,3,-3,43,486,1,0,24,monday,wednesday,0
433536,615,11192,24,118,26.5177664974619,11,29.0077171438001,0,101,9.49238578680203,2,94,22,72,93,-50,29,93,11,0,24,saturday,monday,1
8471,1476,5,30,5,0.335664335664336,0,0.738019045218806,0,3,0.125874125874126,0,0,0,0,0,0,44,66,1,0,24,friday,sunday,0
590707,0,25344,79,211,33.6525974025974,23,35.3466978895492,0,147,12.9545454545455,5,7,7,0,7,7,5,71,35,0,24,thursday,thursday,4
1847,0,65,17,35,6.85714285714286,5,7.07605122421,0,20,1.98051948051948,0,2,2,0,2,2,11,0,12,0,24,sunday,monday,2
16726636,0,562842,14,2076,1042.8125,892.5,509.591407250701,79,1266,510,357,1918,611,1307,1658,-696,38,24,6110,0,24,saturday,monday,219
29392,0,597,91,23,1.92665474060823,1,2.8542385531005,0,19,0.749552772808587,0,5,5,0,5,5,9,615,16,0,24,friday,friday,1
367390,0,2678,100,110,11.8281750266809,6,15.4302000580234,0,96,4.55923159018143,2,62,5,8,52,-3,62,28,159,0,24,friday,monday,3
6676,0,14,24,11,2.7,1,3.18904374382039,0,7,1.06,0,3,0,3,3,-3,34,234,1,0,24,friday,saturday,0
17942,0,264,16,10,0.996153846153846,0,2.01627622673214,0,7,0.361538461538461,0,0,0,0,0,0,19,0,2,0,24,wednesday,thursday,0
4488,0,124,40,29,3.3671875,2,4.54434933074513,0,21,1.3984375,0,6,0,5,6,-5,50,2111,30,0,24,saturday,monday,0
4024,0,0,16,6,0.68421052631579,0,1.05892853389131,0,2,0.305263157894737,0,0,0,0,0,0,26,16,1,0,24,sunday,monday,0
19320,0,15,36,15,3.37337662337662,2,3.80279361098722,0,14,1.25649350649351,0,0,0,0,0,0,34,0,1,0,24,sunday,monday,0
468063,601,137,77,760,32.1022364217252,8,86.263226118097,0,261,11.1022364217252,2,6,0,6,6,-6,43,0,14,0,24,tuesday,thursday,0
1204214,0,6418,1,105,5.81818181818182,3,11.3528508256314,0,97,2.04475524475524,0,11,1,0,10,1,67,19,40,0,24,saturday,tuesday,0
165002,0,25302,36,638,64.7284234752589,32,86.1601254224918,0,507,27.6559263521289,7,67,1,21,62,-20,54,32,196,0,24,monday,wednesday,0
